"offset","source","note"
"0xc1a19","within bombing range.",""
"0xc1c00","End of Pacific Theater of Operations II",""
"0xc1c28","Please use display driver for 256 colors.",""
"0xc1c52","This game needs display size 640x480 or more ability.",""
"0xc2410","%s Cl.",""
"0xc241d","%s %s Class",""
"0xc243a","starboard",""
"0xc2444","port side",""
"0xc244e","stern",""
"0xc2464","Minimal",""
"0xc246c","Slight",""
"0xc2473","Serious",""
"0xc24ba","%4s %-7s",""
"0xc24c3","%4s Army Div.",""
"0xc24d2","Navy Storage",""
"0xc24df","Army Storage",""
"0xc24ec","Factory",""
"0xc24f4","Airfield",""
"0xc250e","Navy Storage",""
"0xc251b","Army Storage",""
"0xc2528","Factory",""
"0xc2530","Airfield",""
"0xc2572","Enter a direction to attack.",""
"0xc258f","You cannot drop torpedoes.",""
"0xc25aa","Select a warship.",""
"0xc25bc","Select a target to attack.",""
"0xc25e2","%d plane%s",""
"0xc25ee","commence attack!",""
"0xc2608","to attack!",""
"0xc2614","approaching!",""
"0xc2624"," CONFIRM ",""
"0xc2639","The air strike failed.",""
"0xc2656","%s AF",""
"0xc265c","%s AF",""
"0xc2662","%s Post",""
"0xc266a","%s Base",""
"0xc2675","%s Submarine",""
"0xc2682","%s AF",""
"0xc2688","%s %s Base AF",""
"0xc2696","%s %s Post",""
"0xc26a1","%s %s Base",""
"0xc26ac","%s Fleet",""
"0xc26b8","%s Fleet AF",""
"0xc26c4","%s AF",""
"0xc26ca","%s Post",""
"0xc26d2","%s Base",""
"0xc2715","The %s",""
"0xc271c","The enemy",""
"0xc272a","'s attack failed.",""
"0xc273c"," retreated from the battle.",""
"0xc2758","The enemy",""
"0xc2766","%s land forces were wiped out.",""
"0xc2785","The enemy",""
"0xc2793","%s base was destroyed.",""
"0xc27ab","%s's orders",""
"0xc27dc","   CHARGE   ",""
"0xc285c","   All Sunk",""
"0xc2868","%d ship%s",""
"0xc2872","   (Sunk %d)",""
"0xc2880","B1%2d Transport %-8s%-8s",""
"0xc289a","B1%2d %d unit%-14s Landed",""
"0xc28e4","B1%2d %-16s",""
"0xc28f0","   Wiped out",""
"0xc28fd","%3d(Lost %3d)",""
"0xc290f","Escorts",""
"0xc2918","B1%d %-16s",""
