"file","id","source","target","note"
"STDATA","STDATA:0006","Kaidai 6","","潛艇型別"
"STDATA","STDATA:0007","Kaidai 7","","潛艇型別"
"STDATA","STDATA:0008","I-201","","潛艇型別"
"STDATA","STDATA:0009","I-400","","潛艇型別"
"STDATA","STDATA:0010","Old Type S","","潛艇型別"
"STDATA","STDATA:0011","Argonaut","","潛艇型別"
"STDATA","STDATA:0012","Narwhal","","潛艇型別"
"STDATA","STDATA:0013","Dolphin","","潛艇型別"
"STDATA","STDATA:0014","Cachalot","","潛艇型別"
"STDATA","STDATA:0015","Type P","","潛艇型別"
"STDATA","STDATA:0016","New Type S","","潛艇型別"
"STDATA","STDATA:0017","Type T","","潛艇型別"
"STDATA","STDATA:0018","Gato","","潛艇型別"
"STDATA","STDATA:0019","Tench","","潛艇型別"
"STDATA","STDATA:0020","I-500","","潛艇型別"
"STDATA","STDATA:0021","I-600","","潛艇型別"
"STDATA","STDATA:0022","I-700","","潛艇型別"
"STDATA","STDATA:0023","I-800","","潛艇型別"
"STDATA","STDATA:0024","Walrus","","潛艇型別"
"STDATA","STDATA:0025","Unicorn","","潛艇型別"
"STDATA","STDATA:0026","Seapanther","","潛艇型別"
"STDATA","STDATA:0027","Amberjack","","潛艇型別"
"TKDATA","TKDATA:0000","Type 95","","戰車名"
"TKDATA","TKDATA:0001","Type 97","","戰車名"
"TKDATA","TKDATA:0002","Type 3","","戰車名"
"TKDATA","TKDATA:0003","Grant M3","","戰車名"
"TKDATA","TKDATA:0004","Sherman M4","","戰車名"
"TKDATA","TKDATA:0005","Pershing M26","","戰車名"
"TKDATA","TKDATA:0006","Matilda 2","","戰車名"
"TKDATA","TKDATA:0007","Churchill","","戰車名"
"TKDATA","TKDATA:0008","T34/76C","","戰車名"
"TKDATA","TKDATA:0009","KVIC","","戰車名"
