"offset","source","target","note"
"0xc5540","C7Forces %3d(-%2d) ->%3d","C7兵力 %3d(-%2d) ->%3d","Forces=兵力"
"0xc555d","C%d%s","",""
"0xc5567","C7Tanks  %3d(-%2d) ->%3d","C7戰車  %3d(-%2d) ->%3d","Tanks=戰車"
"0xc5588","%s %s Fleet A.F.","%s %s 艦隊航空","A.F.=航空隊；因長度限制縮為「艦隊航空」"
"0xc5599","%s %s Base A.F.","%s %s 基地航空","基地航空隊縮為「基地航空」"
"0xc55ad","C7Planes %3d(-%2d) ->%3d","C7飛機 %3d(-%2d) ->%3d",""
"0xc55ca","C%d%s Base","C%d%s基地",""
"0xc55d9","C7Yield  %3d(-%2d) ->%3d","C7產量  %3d(-%2d) ->%3d","Yield=產量"
"0xc55f2","%s %s Commander","%s %s 司令","Commander=司令(術語表)"
"0xc5603","Win this war for us...","為我國贏得此戰……","……為 big5 省略號"
"0xc561a","%s %s Commander","%s %s 司令","Commander=司令(術語表)"
"0xc562b","Win this war for us...","為我國贏得此戰……","……為 big5 省略號"
"0xc5653","%s Fleet A.F.","%s艦隊航空隊","去空格以容納「航空隊」"
"0xc5661","%s A.F.","%s航空","長度僅7 bytes，A.F.縮為「航空」"
"0xc5669","%s Base","%s基地",""
"0xc5672","%16s","",""
"0xc5677","%16s","",""
"0xc567c","%-16s","",""
"0xc5682","%-16s","",""
"0xc568f","HIT ANY KEY","請按任意鍵",""
"0xc56a8","SAVEDATA.TK2","",""
"0xc56b6","BMAP.TK2","",""
"0xc56c0","SHIP.TK2","",""
"0xc56ca","TANK.TK2","",""
"0xc56d4","PLANE.TK2","",""
"0xc56de","SENSUI.TK2","",""
"0xc56ea","MEIREI.TK2","",""
"0xc56f6","JOGEN.TK2","",""
"0xc5700","LOGO.TK2","",""
"0xc570a","WAKU1.TK2","",""
"0xc5714","SCESETSU.TK2","",""
"0xc5722","GAIJI.TK2","",""
"0xc572c","COMPIC.TK2","",""
"0xc5738","EVPIC.TK2","",""
"0xc5742","RUMAP.TK2","",""
"0xc574c","PHASE.TK2","",""
"0xc5756","MAKE.TK2","",""
"0xc5760","KAO.TK2","",""
"0xc5768","NWEAPON.TK2","",""
"0xc5774","MMAP.TK2","",""
"0xc577e","WAKU2.TK2","",""
"0xc5788","BATTLE.TK2","",""
"0xc5794","LAND.TK2","",""
"0xc579e","COAST.TK2","",""
"0xc57a8","HARBOR.TK2","",""
"0xc57b4","LANDUNIT.TK2","",""
"0xc57c2","LANDBACK.TK2","",""
"0xc57d0","MSG1.TK2","",""
"0xc57da","SCESTART.TK2","",""
"0xc57e8","KNDATA","",""
"0xc57f0","NCTDATA","",""
"0xc57f8","KCKKDATA","",""
"0xc5802","KKDATA","",""
"0xc580a","KDATA","",""
"0xc5810","KSDATA","",""
"0xc5818","KTDATA","",""
"0xc5820","SJDATA","",""
"0xc5828","ARDATA","",""
"0xc5830","GRDATA","",""
"0xc5838","NVDATA","",""
"0xc5840","AMDATA","",""
"0xc5848","PLDATA","",""
"0xc5850","TKDATA","",""
"0xc5858","NSDDATA","",""
"0xc5860","NRKDATA","",""
"0xc5868","STDATA","",""
"0xc5870","SSDATA","",""
"0xc5878","KAICG.TK2","",""
"0xc5882","KAIANM.TK2","",""
"0xc588e","KAIMSG.TK2","",""
"0xc589a","DBFILE.TK2","",""
"0xc58a6","SBT.TK2","",""
"0xc58ae","KSNAME.TK2","",""
"0xc58ba","SSNAME.TK2","",""
"0xc58c6","NGAIJI.TK2","",""
"0xc58d2","EVMSG.TK2","",""
"0xc58dc","EDATA.TK2","",""
"0xc58f5","OPEN.AVI","",""
"0xc58fe","PLANE.PAL","",""
"0xc5922"," YES  "," 是 ",""
"0xc5929","  NO  "," 否 ",""
"0xc5953","R%c%s","",""
"0xc595a","Is this OK?","可以嗎？","因長度限制精簡"
"0xc5980","%3d - %3d","",""
"0xc598e","B0%12s","",""
"0xc5999","B0Force","B0軍力","與選單 FORCE 一致譯軍力"
"0xc59b0","B0 Oil  Matl","B0 油料 資材","Oil/Matl=油料/資材"
"0xc59c8","$}Poor    Avg.    Rich","$}貧乏    普通    豐富","$} 為控制碼；資源豐瘠等級"
"0xc59df","Poor    Avg.    Rich","貧乏    普通    豐富",""
"0xc59f4"," FLEET  "," 艦隊  ",""
"0xc59fd","RESOURCE","資源",""
"0xc5a06"," FORCE  "," 軍力  ",""
"0xc5a0f","  NET   "," 連線  ","NET=連線對戰"
"0xc5a18","  BASE  "," 基地  ",""
"0xc5a21","  END   "," 結束  ",""
"0xc5a32","B0%2d","",""
"0xc5a48","B0 SUB.","B0 潛艇","SUB.=潛艇"
"0xc5a54","B0%2d","",""
"0xc5a6a","B7 SUB.","B7 潛艇",""
"0xc5a8a","Move","移動",""
"0xc5a8f","Plan","計畫",""
"0xc5a9f","C0Navy Budget%11d","C0海軍預算%11d",""
"0xc5ab1","Naval Materials%7d","海軍資材%7d",""
"0xc5ac4","budget","預算",""
"0xc5acb","materials","資材",""
"0xc5ad5","There are not enough %s.","%s不足。",""
"0xc5b03","C0Days required%10d","C0所需天數%10d",""
"0xc5b17","ENTER","確定",""
"0xc5b1d","CANCEL","取消",""
"0xc5b24","Please name your ship.","請為軍艦命名。",""
"0xc5b42","B1%s  %s Class","B1%s  %s級","Class=艦級"
"0xc5b58","B1Name: %-12s","B1名稱: %-12s",""
"0xc5b70","warship","軍艦",""
