"file","id","offset","source","target","note"
"KSNAME.TK2","KSNAME.TK2:0217","217","Ishikari","",""
"KSNAME.TK2","KSNAME.TK2:0218","218","Uji","",""
"KSNAME.TK2","KSNAME.TK2:0219","219","Touga","",""
"KSNAME.TK2","KSNAME.TK2:0220","220","Kuzuryu","",""
"KSNAME.TK2","KSNAME.TK2:0221","221","Kurobe","",""
"KSNAME.TK2","KSNAME.TK2:0222","222","Shimanto","",""
"KSNAME.TK2","KSNAME.TK2:0223","223","Chikugo","",""
"KSNAME.TK2","KSNAME.TK2:0224","224","Chitose","",""
"KSNAME.TK2","KSNAME.TK2:0225","225","Chikuma","",""
"KSNAME.TK2","KSNAME.TK2:0226","226","Teshio","",""
"KSNAME.TK2","KSNAME.TK2:0227","227","Naruse","",""
"KSNAME.TK2","KSNAME.TK2:0228","228","Niyodo","",""
"KSNAME.TK2","KSNAME.TK2:0229","229","Hatsuse","",""
"KSNAME.TK2","KSNAME.TK2:0230","230","Yoneshiro","",""
"KSNAME.TK2","KSNAME.TK2:0231","231","Araumi","",""
"KSNAME.TK2","KSNAME.TK2:0232","232","Kiyokaze","",""
"KSNAME.TK2","KSNAME.TK2:0233","233","Satokaze","",""
"KSNAME.TK2","KSNAME.TK2:0234","234","Shimokaze","",""
"KSNAME.TK2","KSNAME.TK2:0235","235","Murakaze","",""
"KSNAME.TK2","KSNAME.TK2:0236","236","Kitakaze","",""
"KSNAME.TK2","KSNAME.TK2:0237","237","Kochi","",""
"KSNAME.TK2","KSNAME.TK2:0238","238","Nishikaze","",""
"KSNAME.TK2","KSNAME.TK2:0239","239","Hae","",""
"KSNAME.TK2","KSNAME.TK2:0240","240","Umigiri","",""
"KSNAME.TK2","KSNAME.TK2:0241","241","Yamagiri","",""
"KSNAME.TK2","KSNAME.TK2:0242","242","Aokumo","",""
"KSNAME.TK2","KSNAME.TK2:0243","243","Amagumo","",""
"KSNAME.TK2","KSNAME.TK2:0244","244","Benikumo","",""
"KSNAME.TK2","KSNAME.TK2:0245","245","Yukigumo","",""
"KSNAME.TK2","KSNAME.TK2:0246","246","Okishio","",""
"KSNAME.TK2","KSNAME.TK2:0247","247","Takashio","",""
"KSNAME.TK2","KSNAME.TK2:0248","248","Nadashio","",""
"KSNAME.TK2","KSNAME.TK2:0249","249","Hamashio","",""
"KSNAME.TK2","KSNAME.TK2:0250","250","Yushio","",""
"KSNAME.TK2","KSNAME.TK2:0251","251","Wakashio","",""
"KSNAME.TK2","KSNAME.TK2:0252","252","Izayoi","",""
"KSNAME.TK2","KSNAME.TK2:0253","253","Urazuki","",""
"KSNAME.TK2","KSNAME.TK2:0254","254","Mangetsu","",""
"KSNAME.TK2","KSNAME.TK2:0255","255","Minezuki","",""
"KSNAME.TK2","KSNAME.TK2:0256","256","Yamazuki","",""
"KSNAME.TK2","KSNAME.TK2:0257","257","Yumizuki","",""
"KSNAME.TK2","KSNAME.TK2:0258","258","Asanami","",""
"KSNAME.TK2","KSNAME.TK2:0259","259","Yunami","",""
"SSNAME.TK2","SSNAME.TK2:0000","0","Amberjack","",""
"SSNAME.TK2","SSNAME.TK2:0001","1","Eel","",""
"SSNAME.TK2","SSNAME.TK2:0002","2","Basilisk","",""
"SSNAME.TK2","SSNAME.TK2:0003","3","Walrus","",""
"SSNAME.TK2","SSNAME.TK2:0004","4","Ulua","",""
"SSNAME.TK2","SSNAME.TK2:0005","5","Escolar","",""
"SSNAME.TK2","SSNAME.TK2:0006","6","Garrupa","",""
"SSNAME.TK2","SSNAME.TK2:0007","7","Garlopa","",""
"SSNAME.TK2","SSNAME.TK2:0008","8","Greenfish","",""
"SSNAME.TK2","SSNAME.TK2:0009","9","Goldling","",""
"SSNAME.TK2","SSNAME.TK2:0010","10","Sea Panther","",""
