"file","id","source","target","note"
"ARDATA","ARDATA:0000","Yamamoto","山本五十六","將領（日本海軍）"
"ARDATA","ARDATA:0001","<<1Toyoda","<<1豐田副武","將領（日本海軍）"
"ARDATA","ARDATA:0002","Koga","古賀峯一","將領（日本海軍）"
"ARDATA","ARDATA:0003","Takasu","高須四郎","將領（日本海軍）"
"ARDATA","ARDATA:0004","9Kondo","9近藤信竹","將領（日本海軍）"
"ARDATA","ARDATA:0005","Ozawa","小澤治三郎","將領（日本海軍）"
"ARDATA","ARDATA:0006","Nagumo","南雲忠一","將領（日本海軍）"
"ARDATA","ARDATA:0007","1Tsukahara","1塚原二四三","將領（日本海軍）"
"ARDATA","ARDATA:0008","Inoue","井上成美","將領（日本海軍）"
"ARDATA","ARDATA:0009","Kurita","栗田健男","將領（日本海軍）"
"ARDATA","ARDATA:0010","Mikawa","三川軍一","將領（日本海軍）"
"ARDATA","ARDATA:0011","9Ito","9伊藤整一","將領（日本海軍）"
"ARDATA","ARDATA:0012","Kusaka(J)","草鹿任一","將領（日本海軍）"
"ARDATA","ARDATA:0013","Hosogaya","細萱戊子郎","將領（日本海軍）"
"ARDATA","ARDATA:0014","Takagi","高木武雄","將領（日本海軍）"
"ARDATA","ARDATA:0015","Kakuta","角田覺治","將領（日本海軍）"
"ARDATA","ARDATA:0016","Ugaki","宇垣纏","將領（日本海軍）"
"ARDATA","ARDATA:0017","Onishi","大西瀧治郎","將領（日本海軍）"
"ARDATA","ARDATA:0018","Tanaka","田中賴三","將領（日本海軍）"
"ARDATA","ARDATA:0019","Kusaka(R)","草鹿龍之介","將領（日本海軍）"
"ARDATA","ARDATA:0020","Nishimura","西村祥治","將領（日本海軍）"
"ARDATA","ARDATA:0021","Matsunaga","松永貞市","將領（日本海軍）"
"ARDATA","ARDATA:0022","Shima","志摩清英","將領（日本海軍）"
"ARDATA","ARDATA:0023","Hara","原忠一","將領（日本海軍）"
"ARDATA","ARDATA:0024","Abe","阿部弘毅","將領（日本海軍）"
"ARDATA","ARDATA:0025","Omori","大森仙太郎","將領（日本海軍）"
"ARDATA","ARDATA:0026","Yamaguchi","山口多聞","將領（日本海軍）"
"ARDATA","ARDATA:0027","9Jyojima","9城島高次","將領（日本海軍）"
"ARDATA","ARDATA:0028","Kimura","木村昌福","將領（日本海軍）"
"ARDATA","ARDATA:0029","Arima","有馬正文","將領（日本海軍）"
"ARDATA","ARDATA:0030","Kimmel","金梅爾","將領（日本海軍）"
"ARDATA","ARDATA:0031","<<1Nimitz","<<1尼米茲","將領（日本海軍）"
"ARDATA","ARDATA:0032","Halsey","海爾賽","將領（日本海軍）"
"ARDATA","ARDATA:0033","9Fletcher","9佛萊徹","將領（日本海軍）"
"ARDATA","ARDATA:0034","9Spruance","9史普魯恩斯","將領（日本海軍）"
"ARDATA","ARDATA:0035","1Vandegrift","1范德格里夫特","將領（日本海軍）"
"ARDATA","ARDATA:0036","Kinkaid","金凱德","將領（日本海軍）"
"ARDATA","ARDATA:0037","Mitscher","密茲契","將領（日本海軍）"
"ARDATA","ARDATA:0038","Turner","特納","將領（日本海軍）"
"ARDATA","ARDATA:0039","McCain","麥凱恩","將領（日本海軍）"
"ARDATA","ARDATA:0040","Smith","史密斯","將領（日本海軍）"
"ARDATA","ARDATA:0041","Fitch","費區","將領（日本海軍）"
"ARDATA","ARDATA:0042","Clark","克拉克","將領（日本海軍）"
"ARDATA","ARDATA:0043","Lee","李","將領（日本海軍）"
"ARDATA","ARDATA:0044","Callaghan","卡拉漢","將領（日本海軍）"
"ARDATA","ARDATA:0045","Scott","史考特","將領（日本海軍）"
"ARDATA","ARDATA:0046","Hoover","胡佛","將領（日本海軍）"
"ARDATA","ARDATA:0047","Sherman","雪曼","將領（日本海軍）"
"ARDATA","ARDATA:0048","Wright","萊特","將領（日本海軍）"
"ARDATA","ARDATA:0049","Oldendorf","奧登多夫","將領（日本海軍）"
"ARDATA","ARDATA:0050","Montgomery","蒙哥馬利","將領（日本海軍）"
"ARDATA","ARDATA:0051","Harrill","哈里爾","將領（日本海軍）"
"ARDATA","ARDATA:0052","Davison","戴維森","將領（日本海軍）"
"ARDATA","ARDATA:0053","Sprague","史普拉格","將領（日本海軍）"
"ARDATA","ARDATA:0054","Somerville","薩默維爾","將領（日本海軍）"
"ARDATA","ARDATA:0055","F21Mountbatten","F21蒙巴頓","將領（日本海軍）"
"ARDATA","ARDATA:0056","Phillips","菲利普斯","將領（日本海軍）"
"ARDATA","ARDATA:0057","9Ghormley","9戈姆利","將領（日本海軍）"
"ARDATA","ARDATA:0058","Doorman","杜爾曼","將領（日本海軍）"
"ARDATA","ARDATA:0059","9Crutchley","9克拉奇利","將領（日本海軍）"
"ARDATA","ARDATA:0060","9Ozawa","9小澤治三郎","將領（日本海軍）"
"ARDATA","ARDATA:0061","1Nagumo","1南雲忠一","將領（日本海軍）"
"ARDATA","ARDATA:0062","1Kurita","1栗田健男","將領（日本海軍）"
"ARDATA","ARDATA:0063","1Mikawa","1三川軍一","將領（日本海軍）"
"ARDATA","ARDATA:0064","9Kakuta","9角田覺治","將領（日本海軍）"
"ARDATA","ARDATA:0065","9Kusaka(R)","9草鹿龍之介","將領（日本海軍）"
