"file","id","source","target","note"
"KSDATA","KSDATA:0061","Matsukaze","松風","艦船名（詳表）"
"KSDATA","KSDATA:0062","Hatakaze","旗風","艦船名（詳表）"
"KSDATA","KSDATA:0063","Mutsuki","睦月","艦船名（詳表）"
"KSDATA","KSDATA:0064","Kisaragi","如月","艦船名（詳表）"
"KSDATA","KSDATA:0065","Yayoi","彌生","艦船名（詳表）"
"KSDATA","KSDATA:0066","Mochizuki","望月","艦船名（詳表）"
"KSDATA","KSDATA:0067","Fubuki","吹雪","艦船名（詳表）"
"KSDATA","KSDATA:0068","Shirayuki","白雪","艦船名（詳表）"
"KSDATA","KSDATA:0069","Hatsuyuki","初雪","艦船名（詳表）"
"KSDATA","KSDATA:0070","Isonami","磯波","艦船名（詳表）"
"KSDATA","KSDATA:0071","Uranami","浦波","艦船名（詳表）"
"KSDATA","KSDATA:0072","Ayanami","綾波","艦船名（詳表）"
"KSDATA","KSDATA:0073","Shikinami","敷波","艦船名（詳表）"
"KSDATA","KSDATA:0074","Sagiri","狹霧","艦船名（詳表）"
"KSDATA","KSDATA:0075","Murasame","村雨","艦船名（詳表）"
"KSDATA","KSDATA:0076","Yudachi","夕立","艦船名（詳表）"
"KSDATA","KSDATA:0077","Harusame","春雨","艦船名（詳表）"
"KSDATA","KSDATA:0078","Samidare","五月雨","艦船名（詳表）"
"KSDATA","KSDATA:0079","Asashio","朝潮","艦船名（詳表）"
"KSDATA","KSDATA:0080","Oshio","大潮","艦船名（詳表）"
"KSDATA","KSDATA:0081","Michishio","滿潮","艦船名（詳表）"
"KSDATA","KSDATA:0082","Arashio","荒潮","艦船名（詳表）"
"KSDATA","KSDATA:0083","Asagumo","朝雲","艦船名（詳表）"
"KSDATA","KSDATA:0084","Natsugumo","夏雲","艦船名（詳表）"
"KSDATA","KSDATA:0085","Minegumo","峰雲","艦船名（詳表）"
"KSDATA","KSDATA:0086","Arare","霰","艦船名（詳表）"
"KSDATA","KSDATA:0087","Kasumi","霞","艦船名（詳表）"
"KSDATA","KSDATA:0088","Kagero","陽炎","艦船名（詳表）"
"KSDATA","KSDATA:0089","Shiranui","不知火","艦船名（詳表）"
"KSDATA","KSDATA:0090","Natsushio","夏潮","艦船名（詳表）"
"KSDATA","KSDATA:0091","Kuroshio","黑潮","艦船名（詳表）"
"KSDATA","KSDATA:0092","Oyashio","親潮","艦船名（詳表）"
"KSDATA","KSDATA:0093","Hayashio","早潮","艦船名（詳表）"
"KSDATA","KSDATA:0094","Hatsukaze","初風","艦船名（詳表）"
"KSDATA","KSDATA:0095","Yukikaze","雪風","艦船名（詳表）"
"KSDATA","KSDATA:0096","Amatsukaze","天津風","艦船名（詳表）"
